aX,aY,aZ,gX,gY,gZ
0.566,-0.298,0.361,42.114,-52.917,-199.951
0.565,-0.684,0.616,45.349,-69.885,-172.485
0.564,-1.118,0.956,17.761,-53.223,-108.337
0.646,-1.365,1.222,-38.391,-5.798,-16.541
0.478,-1.521,1.380,-57.373,36.743,104.919
0.449,-1.241,1.050,-4.150,88.318,195.862
0.254,-1.288,1.012,15.503,93.201,285.889
0.105,-0.578,0.937,52.856,143.738,364.258
0.052,-0.077,0.727,51.392,189.026,384.155
-0.102,0.263,0.365,2.380,203.125,418.396
-0.178,0.909,0.289,-44.373,179.871,434.998
-0.347,1.485,-0.279,-19.043,225.281,394.958
-0.193,1.599,-0.527,-58.777,179.993,248.291
-0.159,1.174,-0.323,-9.521,104.126,153.137
-0.249,1.708,-0.552,37.781,52.612,126.099
-0.203,2.271,-0.648,-1.282,15.930,58.105
-0.185,1.987,-0.537,4.395,-19.775,-69.580
