aX,aY,aZ,gX,gY,gZ
0.760,0.060,0.648,-0.366,0.305,0.061
0.759,0.061,0.657,0.183,-0.671,-0.183
0.760,0.062,0.660,0.183,-0.183,0.244
0.761,0.067,0.653,0.610,-0.061,0.366
0.762,0.068,0.656,0.122,0.183,0.671
0.765,0.072,0.647,0.305,0.305,0.488
0.760,0.065,0.651,0.122,-0.183,-0.061
0.764,0.070,0.656,0.305,-0.183,0.305
0.760,0.064,0.654,0.244,-0.366,-0.549
0.760,0.066,0.657,0.366,-0.305,0.000
0.761,0.065,0.653,0.183,-0.061,0.061
0.758,0.060,0.649,0.244,-0.183,0.122
0.758,0.062,0.651,0.183,-0.122,0.671
0.762,0.067,0.655,0.244,-0.366,0.122
0.762,0.067,0.655,0.183,-0.061,0.610
0.763,0.072,0.656,0.488,-0.671,0.183
0.762,0.068,0.654,0.122,-0.122,-0.305
0.761,0.068,0.653,-0.061,-0.244,-0.122
0.761,0.067,0.657,-0.366,-0.061,-0.305
0.760,0.064,0.658,0.122,-0.122,-0.366
0.760,0.061,0.656,0.488,-0.366,0.122
0.760,0.064,0.652,0.183,0.366,0.000
0.756,0.060,0.648,-0.061,-0.549,0.549
0.761,0.069,0.654,0.305,-1.038,0.916
0.759,0.064,0.661,0.183,-0.610,0.305
0.762,0.071,0.661,0.305,-0.427,0.793
0.765,0.075,0.656,-0.183,0.000,0.366
0.762,0.070,0.655,0.366,0.122,-0.610
0.756,0.066,0.652,-0.183,0.061,-0.305
0.761,0.066,0.655,-0.183,0.000,0.000
0.757,0.062,0.662,0.305,-0.488,-0.305
0.756,0.064,0.660,0.122,-0.183,0.000
0.757,0.065,0.657,0.061,0.061,0.183
0.758,0.065,0.661,0.610,-0.244,0.488
0.760,0.073,0.660,0.305,0.366,0.366
0.762,0.072,0.661,0.183,0.427,-0.061
0.760,0.068,0.658,0.427,0.427,-0.549
0.762,0.072,0.649,-0.366,0.549,-0.122
0.757,0.061,0.651,0.122,-0.061,-0.671

