aX,aY,aZ,gX,gY,gZ
0.288,-0.023,1.921,77.637,-251.587,40.588
0.261,0.205,1.798,103.149,-86.426,47.241
0.159,0.260,1.768,66.162,-52.551,-20.813
-0.073,0.120,1.718,1.648,-120.117,-12.939
0.296,-0.142,2.380,-12.024,-111.389,24.231
0.296,0.148,2.542,-24.475,34.546,49.988
0.003,0.207,1.836,10.498,154.541,-36.255
0.062,-0.002,1.508,-22.583,120.483,-27.588
0.146,-0.037,1.597,-52.795,125.488,12.939
0.231,-0.040,1.577,-58.411,197.083,-14.099
0.187,-0.006,1.426,-69.946,257.629,-33.264
0.229,-0.045,1.238,-77.332,308.838,-23.743
0.182,-0.052,0.970,-83.008,338.196,-8.057
0.256,-0.124,0.698,-96.008,340.881,8.423
0.226,-0.031,0.441,-85.510,311.523,17.151
0.211,-0.010,-0.000,-71.289,219.543,14.893
0.309,0.043,-0.088,-82.031,153.381,22.766
0.379,0.094,-0.309,-57.861,143.127,8.667
0.484,0.110,-0.291,-38.574,129.333,-11.658
0.532,0.098,-0.280,-8.972,101.746,-18.982
0.573,0.088,-0.360,12.939,53.955,-23.621
0.597,0.105,-0.335,15.991,-6.226,-10.254
0.621,0.134,-0.337,21.667,-46.509,-11.536
0.571,0.073,-0.339,20.508,-97.534,-2.380
0.566,0.077,-0.182,18.005,-136.414,10.071
0.501,0.109,-0.023,29.541,-164.307,11.963
0.475,-0.011,0.085,49.561,-197.205,17.883
0.349,0.069,0.159,75.073,-228.333,32.227
0.265,0.240,0.450,61.340,-245.422,30.090
0.435,0.009,0.771,81.909,-253.906,46.448
0.409,0.078,1.104,124.268,-259.644,-36.072
0.285,0.048,1.047,152.893,-245.544,-48.218
0.460,0.004,1.548,107.422,-240.845,-20.264
0.638,0.031,1.726,68.359,-156.494,-26.001
0.445,-0.040,1.554,58.899,-119.141,-39.551
0.493,-0.123,1.492,39.795,-85.022,-36.743
0.375,-0.157,1.462,26.794,-51.086,-30.396
0.504,-0.161,1.500,28.381,-12.390,-13.855
0.392,-0.134,1.344,23.376,-5.188,-2.686
0.357,-0.131,1.277,10.864,2.686,-3.601
0.335,-0.092,1.247,0.671,16.602,5.737
0.286,-0.093,1.135,-1.831,27.588,5.432
0.255,-0.132,1.038,-13.123,28.320,6.897
0.237,-0.150,0.987,-14.343,28.503,8.362
0.254,-0.131,0.954,-13.245,31.677,9.827
0.254,-0.097,0.923,-8.423,42.236,6.409
0.249,-0.097,0.897,-13.550,44.189,1.892
0.224,-0.086,0.834,-14.221,32.227,0.549
0.246,-0.093,0.805,-6.470,17.212,-0.488
0.261,-0.101,0.805,0.610,11.292,-0.549
0.268,-0.099,0.799,-1.709,3.906,-2.808
0.320,-0.117,0.854,-3.906,-0.244,-0.183
0.349,-0.066,0.885,2.197,7.507,3.418
0.296,-0.051,0.833,0.916,4.150,1.282
0.327,-0.039,0.870,2.380,-6.470,0.610
0.385,-0.051,0.954,-1.160,-7.446,2.869
0.387,-0.041,0.992,1.099,1.953,-1.221
0.352,-0.061,0.954,-0.916,2.625,-8.301
0.343,-0.079,0.937,1.526,-1.038,-7.141
0.364,-0.081,0.955,-1.160,-6.714,-4.700
0.354,-0.094,0.983,-3.357,-6.287,-3.845
0.358,-0.114,0.986,-5.127,-2.380,-6.348
0.339,-0.104,0.953,0.061,-1.648,-2.258
0.332,-0.082,0.919,5.066,-3.357,-1.221
0.354,-0.075,0.926,0.854,-5.127,-0.366
